cluster,size,n_scored,cohesion,mean_loss,median_loss,std,min,max
6,30,30,0.2488,1.5126,1.4869,0.3113,0.9171,2.2248
0,225,225,0.2245,1.3573,1.3038,0.4134,0.5829,2.7767
8,9,9,0.2695,1.3234,1.2328,0.2328,1.1289,1.7408
4,126,126,0.2348,1.2641,1.2066,0.4273,0.5785,3.2037
1,190,190,0.2656,1.2641,1.1902,0.4966,0.4285,4.0276
5,121,121,0.1787,1.2556,1.2203,0.5371,0.4064,4.9049
7,18,18,0.3040,1.2531,1.1060,0.6254,0.5963,3.1359
2,146,146,0.2250,1.2179,1.1974,0.3325,0.5240,2.5057
3,128,128,0.2933,1.0901,0.9798,0.4434,0.5326,3.9468
